pontosX;pontosY;pontosZ
-0.114742;-0.141602;2.07788
-0.103921;-0.142961;2.10005
-0.0957878;-0.145183;2.08601
-0.0902891;-0.150004;2.0718
-0.089858;-0.157972;2.12161
-0.0875355;-0.156729;2.08507
-0.0848743;-0.151734;2.01769
-0.0864978;-0.152107;2.01118
-0.0899635;-0.151396;2.01255
-0.0944466;-0.150157;2.01267
-0.0975005;-0.146958;2.00061
-0.0983378;-0.143897;1.99162
-0.101608;-0.145482;2.03911
-0.0985642;-0.139424;1.96859
-0.096794;-0.135863;1.94869
-0.0944789;-0.134445;1.96125
-0.0908648;-0.127342;1.95954
-0.0843608;-0.117412;1.96185
-0.0782867;-0.10813;2.02551
-0.0657218;-0.0908511;1.98212
-0.0539139;-0.0755793;1.98051
-0.0437115;-0.0625958;1.97614
-0.0336688;-0.0495702;1.95188
-0.0239694;-0.0392573;1.95163
-0.0112172;-0.0279909;1.9467
0.0103299;-0.0072305;1.96358
0.0417345;0.0249582;1.98237
0.0836021;0.0706612;2.07428
0.125398;0.118571;2.01051
0.179536;0.175226;2.05141
0.52627;0.419193;1.9003
0.563679;0.425694;1.85682
0.588413;0.423883;1.83164
0.599103;0.418374;1.81455
0.607688;0.410632;1.80676
0.6115;0.402752;1.80919
0.604499;0.397512;1.82721
0.578681;0.38974;1.8274
0.547826;0.384689;1.83822
0.51145;0.381683;1.85724
0.464194;0.376365;1.86213
0.411133;0.372477;1.87193
0.296839;0.373519;1.87802
0.241731;0.381699;1.89534
0.134247;0.398805;1.92346
0.0840986;0.403462;1.91666
0.033952;0.412126;1.92671
-0.0133981;0.409355;1.89118
-0.0546767;0.414122;1.88789
-0.096766;0.418053;1.89096
-0.141435;0.42014;1.89389
-0.190247;0.425933;1.90841
-0.239596;0.428904;1.91207
-0.291331;0.432272;1.92108
-0.344741;0.433278;1.92221
-0.396374;0.43056;1.91029
-0.44621;0.429112;1.89907
-0.489114;0.423821;1.87153
-0.526325;0.41798;1.85415
-0.553469;0.409022;1.83505
-0.573662;0.39657;1.8302
-0.588065;0.379027;1.84784
-0.596106;0.351913;1.87241
-0.599815;0.316126;1.91028
-0.59259;0.267515;1.92728
-0.528233;0.029292;1.99496
-0.47416;-0.0774718;1.96954
-0.448926;-0.116717;1.9506
-0.423783;-0.149704;1.9167
-0.398659;-0.1767;1.8738
-0.375579;-0.19765;1.8324
-0.352783;-0.217742;1.81256
-0.323287;-0.232969;1.8157
-0.284898;-0.24703;1.84486
-0.234024;-0.254308;1.86359
0.135436;-0.241133;1.9478
0.167003;-0.243417;1.9147
0.176067;-0.257039;1.89218
0.179013;-0.266324;1.88092
0.181406;-0.26678;1.86407
0.195445;-0.26324;1.87188
0.217645;-0.256207;1.87438
0.247295;-0.249716;1.89274
0.281649;-0.24457;1.91617
0.319057;-0.243409;1.92857
0.356695;-0.24764;1.91946
0.565987;-0.276095;2.07036
0.567161;-0.259106;1.96605
0.556864;-0.206309;1.95348
0.557274;-0.20098;1.96312
0.554413;-0.200269;1.99401
0.544398;-0.183904;2.04929
0.525713;-0.162509;2.03078
0.51573;-0.145811;2.04245
0.511237;-0.133816;2.07148
0.499352;-0.118954;2.06167
0.488348;-0.0933825;2.05288
0.47313;-0.0608281;2.02988
0.457554;-0.0227941;2.0018
0.443175;0.0208921;1.97468
0.443389;0.0692595;2.01686
0.418954;0.115939;1.95332
0.407665;0.167106;1.95875
0.393523;0.215541;1.95776
0.380347;0.263593;1.96906
0.367684;0.311148;1.97615
0.356885;0.355124;1.97867
0.347696;0.393851;1.97523
0.342603;0.433479;1.98958
0.33573;0.463905;2.00095
0.330144;0.488576;2.02228
0.324653;0.498673;2.02804
0.314445;0.496249;2.04312
0.291757;0.47811;2.0558
0.257961;0.448577;2.07163
0.217126;0.415098;2.09896
0.168386;0.375412;2.12547
0.115197;0.331355;2.1387
-0.000470837;0.234563;2.14942
-0.104493;0.141086;2.12938
-0.142885;0.0967219;2.09395
-0.175085;0.0609807;2.08088
-0.200189;0.0333007;2.07601
-0.220564;0.0161102;2.08153
-0.235765;0.00624297;2.07891
-0.254925;-6.73889e-05;2.1841
-0.255268;-0.00526328;2.17583
-0.241466;-0.00608121;2.08825
-0.237402;-0.00173691;2.11935
-0.214941;0.00658053;2.03582
-0.194945;0.0126403;2.01692
-0.169985;0.0191015;2.01076
-0.13769;0.0309316;2.0296
-0.101242;0.0409027;2.04929
-0.0648586;0.0456528;2.04658
-0.0292904;0.0471911;2.02821
0.00339392;0.0474958;2.00346
0.0325247;0.0452696;1.99667
0.0563336;0.0441769;1.9651
0.0767892;0.0444159;1.95054
0.0896352;0.0440899;1.92817
0.0917298;0.0413223;1.9103
0.088485;0.0369882;1.89049
0.0846133;0.0357132;1.88717
0.0807885;0.0386776;1.90382
0.0758604;0.0416978;1.93141
0.0705857;0.0446917;1.96137
0.0664905;0.0469158;1.97643
0.065441;0.0506231;2.00169
0.0669437;0.0557751;2.0809
0.0649992;0.0569483;2.02592
0.0673569;0.0617186;2.02599
0.0712313;0.0687803;2.02966
0.0745326;0.0714335;2.04178
0.0754732;0.0696393;2.02281
0.0764609;0.0645026;2.0135
0.0767077;0.0561883;1.98484
0.0774146;0.0484587;1.9471
0.0815176;0.0439087;1.98774
0.0780874;0.0362551;1.8997
0.0753597;0.0326022;1.88607
0.073099;0.032567;1.88904
0.0709818;0.0366209;1.90422
0.0687434;0.0439514;1.93096
0.0692534;0.0537001;2.00574
0.0701554;0.0631193;2.0902
